[Sep 29 2016 09:43:30.000000 - ERROR] effectiveUser=377-251-2779 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=325 requestId=00053da0a261a0500abc2153d5024b6b operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
[Sep 29 2016 09:44:09.000000 - ERROR] effectiveUser=377-251-2779 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=207 requestId=00053da0a4b7bd800abc0b565f00adeb operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.INVALID_TOKEN_HEADER @ ; trigger:'1/Zyq3Y_GR5osJ9JXe-eJNoe-n6UYLRLUHrQICDHnXZxI']
[Sep 29 2016 09:44:18.000000 - ERROR] effectiveUser=377-251-2779 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=520 requestId=00053da0a536d0c10abc2153d5024b6b operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
[Sep 29 2016 09:47:21.000000 - ERROR] effectiveUser=377-251-2779 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=209 requestId=00053da0b02b98310abc3745260a4c5b operations=1 units= server=adwords.google.com isFault=true faultMessage=[AuthorizationError.USER_PERMISSION_DENIED @ ; trigger:'<null>']
[Sep 29 2016 09:50:17.000000 - ERROR] effectiveUser=765-539-4192 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=311 requestId=00053da0ba9f8b280abc01cd440d70f7 operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
[Sep 29 2016 09:50:42.000000 - ERROR] effectiveUser=765-539-4192 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=308 requestId=00053da0bc28ea480abc01cd440d70f7 operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
[Sep 29 2016 09:52:11.000000 - ERROR] effectiveUser=765-539-4192 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=305 requestId=00053da0c16f0f000abc76c8990d88d2 operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
[Sep 29 2016 09:52:42.000000 - ERROR] effectiveUser=765-539-4192 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=228 requestId=00053da0c34951280abc750bb203e767 operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
[Sep 29 2016 09:52:45.000000 - ERROR] effectiveUser=765-539-4192 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=203 requestId=00053da0c37c34800abcd08605057a78 operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
[Sep 29 2016 09:52:53.000000 - ERROR] effectiveUser=765-539-4192 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=209 requestId=00053da0c3f0d0100abc2153d5024b6b operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
[Sep 29 2016 09:52:53.000000 - ERROR] effectiveUser=765-539-4192 service=ManagedCustomerService method=mutate operators={ADD: 1} responseTime=285 requestId=00053da0c3f2a4d00abc924f770a744f operations=1 units= server=adwords.google.com isFault=true faultMessage=[QuotaCheckError.DEVELOPER_TOKEN_NOT_APPROVED @ ; trigger:'<null>']
